"산업별","산업별 지수","제조업"
"2002.01","생산능력지수","58.654"
"","가동률지수(원지수)","107.821"
"","가동률지수(계절조정)","106.348"
"2002.02","생산능력지수","58.726"
"","가동률지수(원지수)","94.685"
"","가동률지수(계절조정)","108.435"
"2002.03","생산능력지수","58.937"
"","가동률지수(원지수)","114.761"
"","가동률지수(계절조정)","111.393"
"2002.04","생산능력지수","58.969"
"","가동률지수(원지수)","116.159"
"","가동률지수(계절조정)","111.906"
"2002.05","생산능력지수","59.479"
"","가동률지수(원지수)","116.632"
"","가동률지수(계절조정)","109.668"
"2002.06","생산능력지수","59.517"
"","가동률지수(원지수)","105.967"
"","가동률지수(계절조정)","107.408"
"2002.07","생산능력지수","59.587"
"","가동률지수(원지수)","108.96"
"","가동률지수(계절조정)","110.664"
"2002.08","생산능력지수","59.623"
"","가동률지수(원지수)","107.773"
"","가동률지수(계절조정)","111.664"
"2002.09","생산능력지수","59.706"
"","가동률지수(원지수)","105.509"
"","가동률지수(계절조정)","108.287"
"2002.10","생산능력지수","60.165"
"","가동률지수(원지수)","116.709"
"","가동률지수(계절조정)","108.891"
"2002.11","생산능력지수","60.253"
"","가동률지수(원지수)","113.476"
"","가동률지수(계절조정)","109.037"
"2002.12","생산능력지수","60.368"
"","가동률지수(원지수)","109.584"
"","가동률지수(계절조정)","111.68"
"2003.01","생산능력지수","60.524"
"","가동률지수(원지수)","106.699"
"","가동률지수(계절조정)","109.128"
"2003.02","생산능력지수","60.567"
"","가동률지수(원지수)","101.151"
"","가동률지수(계절조정)","109.879"
"2003.03","생산능력지수","61.548"
"","가동률지수(원지수)","113.261"
"","가동률지수(계절조정)","109.913"
"2003.04","생산능력지수","61.447"
"","가동률지수(원지수)","113.395"
"","가동률지수(계절조정)","109.31"
"2003.05","생산능력지수","61.418"
"","가동률지수(원지수)","109.761"
"","가동률지수(계절조정)","106.947"
"2003.06","생산능력지수","61.276"
"","가동률지수(원지수)","110.022"
"","가동률지수(계절조정)","109.525"
"2003.07","생산능력지수","61.248"
"","가동률지수(원지수)","103.513"
"","가동률지수(계절조정)","103.192"
"2003.08","생산능력지수","61.327"
"","가동률지수(원지수)","103.163"
"","가동률지수(계절조정)","109.015"
"2003.09","생산능력지수","61.315"
"","가동률지수(원지수)","107.114"
"","가동률지수(계절조정)","109.973"
"2003.10","생산능력지수","61.937"
"","가동률지수(원지수)","120.29"
"","가동률지수(계절조정)","112.294"
"2003.11","생산능력지수","62.325"
"","가동률지수(원지수)","113.461"
"","가동률지수(계절조정)","110.724"
"2003.12","생산능력지수","62.361"
"","가동률지수(원지수)","115.562"
"","가동률지수(계절조정)","113.654"
"2004.01","생산능력지수","62.822"
"","가동률지수(원지수)","103.81"
"","가동률지수(계절조정)","112.02"
"2004.02","생산능력지수","63.16"
"","가동률지수(원지수)","110.886"
"","가동률지수(계절조정)","116.293"
"2004.03","생산능력지수","63.701"
"","가동률지수(원지수)","118.927"
"","가동률지수(계절조정)","113.366"
"2004.04","생산능력지수","64.187"
"","가동률지수(원지수)","116.079"
"","가동률지수(계절조정)","114.003"
"2004.05","생산능력지수","64.664"
"","가동률지수(원지수)","115.554"
"","가동률지수(계절조정)","114.588"
"2004.06","생산능력지수","64.736"
"","가동률지수(원지수)","115.048"
"","가동률지수(계절조정)","110.377"
"2004.07","생산능력지수","64.699"
"","가동률지수(원지수)","110.118"
"","가동률지수(계절조정)","109.607"
"2004.08","생산능력지수","64.652"
"","가동률지수(원지수)","106.311"
"","가동률지수(계절조정)","110.541"
"2004.09","생산능력지수","64.69"
"","가동률지수(원지수)","108.494"
"","가동률지수(계절조정)","110.897"
"2004.10","생산능력지수","64.969"
"","가동률지수(원지수)","117.395"
"","가동률지수(계절조정)","110.192"
"2004.11","생산능력지수","65.159"
"","가동률지수(원지수)","118.015"
"","가동률지수(계절조정)","112.896"
"2004.12","생산능력지수","65.417"
"","가동률지수(원지수)","114.067"
"","가동률지수(계절조정)","112.201"
"2005.01","생산능력지수","65.165"
"","가동률지수(원지수)","113.234"
"","가동률지수(계절조정)","116.268"
"2005.02","생산능력지수","65.299"
"","가동률지수(원지수)","95.805"
"","가동률지수(계절조정)","110.895"
"2005.03","생산능력지수","65.564"
"","가동률지수(원지수)","118.295"
"","가동률지수(계절조정)","114.023"
"2005.04","생산능력지수","65.897"
"","가동률지수(원지수)","114.247"
"","가동률지수(계절조정)","111.039"
"2005.05","생산능력지수","66.23"
"","가동률지수(원지수)","113.46"
"","가동률지수(계절조정)","107.796"
"2005.06","생산능력지수","66.363"
"","가동률지수(원지수)","113.009"
"","가동률지수(계절조정)","109.11"
"2005.07","생산능력지수","66.429"
"","가동률지수(원지수)","111.323"
"","가동률지수(계절조정)","108.507"
"2005.08","생산능력지수","66.762"
"","가동률지수(원지수)","105.925"
"","가동률지수(계절조정)","109.258"
"2005.09","생산능력지수","67.029"
"","가동률지수(원지수)","108.511"
"","가동률지수(계절조정)","110.003"
"2005.10","생산능력지수","67.694"
"","가동률지수(원지수)","117.508"
"","가동률지수(계절조정)","113.13"
"2005.11","생산능력지수","68.028"
"","가동률지수(원지수)","121.444"
"","가동률지수(계절조정)","116.693"
"2005.12","생산능력지수","68.227"
"","가동률지수(원지수)","116.496"
"","가동률지수(계절조정)","112.977"
