month,region,power_kwh_industry,power_kwh_total,prod_index,temp_avg,precipitation,export_amount,util_rate,indicator,value
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,시황현황,88.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,매출액현황,81.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,국내시장출하현황,83.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,수출현황,80.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,재고현황,88.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,설비투자현황,95.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,설비가동률현황,98.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,고용현황,83.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,원자재가격현황,102.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,제품가격현황,93.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,경상이익현황,83.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,자금사정현황,79.0
2020-09-01,강원,"550,068,712 ","1,313,720,713 ",103.2,18.4,225.5,1430879,73.7,부가가치비중 (%),1.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,시황현황,83.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,매출액현황,83.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,국내시장출하현황,82.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,수출현황,87.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,재고현황,102.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,설비투자현황,98.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,설비가동률현황,89.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,고용현황,95.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,원자재가격현황,109.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,제품가격현황,98.0
2020-09-01,경기,"5,830,713,009 ","10,912,339,510 ",108.7,20.6,176.6,84058529,73.7,경상이익현황,81.0
