month,region,power_kwh_industry,power_kwh_total,prod_index,temp_avg,precipitation,export_amount,util_rate
2010-01-01,강원,"463,950,773 ","1,480,180,516 ",76.306,-5.9,33.9,82824.0,79.7
2010-01-01,경기,"4,018,117,308 ","8,725,480,264 ",49.87,-4.5,25.4,5975813.0,79.7
2010-01-01,경남,"1,594,246,998 ","2,922,774,089 ",118.283,0.3,23.9,2851941.0,79.7
2010-01-01,경북,"2,544,221,899 ","3,717,347,647 ",126.896,-1.4,17.2,3221839.0,79.7
2010-01-01,광주,"228,905,072 ","712,923,474 ",75.489,0.5,37.1,799712.0,79.7
2010-01-01,대구,"535,847,540 ","1,331,471,928 ",92.576,0.0,15.2,352996.0,79.7
2010-01-01,대전,"256,888,382 ","826,372,244 ",78.518,-2.7,46.4,245949.0,79.7
2010-01-01,부산,"703,567,523 ","1,848,493,050 ",101.268,3.0,37.6,765854.0,79.7
2010-01-01,서울,"507,859,467 ","4,398,185,062 ",113.099,-4.5,29.3,3086619.0,79.7
2010-01-01,울산,"1,899,248,453 ","2,259,609,470 ",100.031,1.5,17.0,4742975.0,79.7
2010-01-01,인천,"1,119,519,137 ","2,016,430,191 ",85.238,-3.2,29.2,1396432.0,79.7
2010-01-01,전남,"1,402,652,316 ","2,233,685,360 ",91.579,1.2,35.2,2225979.0,79.7
2010-01-01,전북,"871,218,726 ","1,707,366,334 ",113.336,-0.9,39.0,632429.0,79.7
2010-01-01,제주,"35,996,407 ","325,800,159 ",107.991,6.4,49.4,9877.0,79.7
2010-01-01,충남,"2,194,112,525 ","3,281,996,780 ",68.505,-2.7,39.4,3661228.0,79.7
2010-01-01,충북,"687,850,854 ","1,402,889,755 ",50.742,-4.6,38.4,682949.0,79.7
2010-02-01,강원,"422,910,243 ","1,382,020,482 ",74.155,0.1,40.1,184341.0,80.0
2010-02-01,경기,"3,835,305,895 ","8,341,902,225 ",48.633,1.1,52.7,11784040.0,80.0
