month,region,power_kwh_industry,power_kwh_total,prod_index,temp_avg,precipitation,export_amount,util_rate_x,util_rate_y
2015-01-01,강원,"585,592,815 ","1,617,029,201 ",90.726,-2.4,13.3,152283,75.0,75.0
2015-01-01,경기,"4,997,455,612 ","10,014,789,252 ",66.022,-1.1,13.7,9412306,75.0,75.0
2015-01-01,경남,"1,757,495,823 ","3,299,662,507 ",118.906,2.0,29.2,5581400,75.0,75.0
2015-01-01,경북,"2,923,805,965 ","4,191,097,159 ",127.25,0.8,18.7,4025281,75.0,75.0
2015-01-01,광주,"266,092,703 ","776,667,026 ",106.893,1.7,47.2,1314089,75.0,75.0
2015-01-01,대구,"602,778,084 ","1,417,382,367 ",110.428,2.3,24.1,609500,75.0,75.0
2015-01-01,대전,"286,480,493 ","875,517,360 ",93.632,0.0,31.5,408262,75.0,75.0
2015-01-01,부산,"723,831,996 ","1,862,691,172 ",114.019,4.7,50.7,1281646,75.0,75.0
2015-01-01,서울,"462,259,628 ","4,281,116,579 ",115.062,-0.9,11.3,4765699,75.0,75.0
2015-01-01,울산,"2,248,509,343 ","2,625,575,708 ",116.274,3.5,26.3,5533531,75.0,75.0
2015-01-01,인천,"1,203,392,321 ","2,170,984,387 ",93.642,-0.8,10.3,2280996,75.0,75.0
2015-01-01,전남,"1,933,872,686 ","3,036,414,338 ",101.015,2.7,36.2,2662005,75.0,75.0
2015-01-01,전북,"1,205,277,833 ","2,120,976,461 ",118.98,0.8,45.2,755062,75.0,75.0
2015-01-01,제주,"45,128,341 ","418,867,480 ",107.441,7.9,81.5,8818,75.0,75.0
2015-01-01,충남,"3,147,024,010 ","4,327,255,874 ",84.192,-0.4,27.3,4912798,75.0,75.0
2015-01-01,충북,"1,273,429,083 ","2,116,715,395 ",88.701,-1.5,23.2,1308969,75.0,75.0
2015-02-01,강원,"534,452,784 ","1,498,836,689 ",84.073,0.0,18.6,299501,76.0,76.0
2015-02-01,경기,"4,654,338,153 ","9,380,604,153 ",62.294,0.9,21.3,18124418,76.0,76.0
2015-02-01,경남,"1,596,046,858 ","3,071,402,396 ",104.994,3.2,32.4,10070427,76.0,76.0
2015-02-01,경북,"2,574,896,469 ","3,776,522,534 ",109.988,2.4,17.9,7461646,76.0,76.0
2015-02-01,광주,"246,602,545 ","741,223,402 ",87.856,3.0,23.9,2406211,76.0,76.0
2015-02-01,대구,"566,797,790 ","1,344,788,358 ",96.487,3.8,14.6,1138269,76.0,76.0
2015-02-01,대전,"255,133,737 ","815,725,211 ",83.98,1.9,27.0,742958,76.0,76.0
2015-02-01,부산,"644,492,437 ","1,736,815,731 ",103.037,5.4,30.5,2429246,76.0,76.0
2015-02-01,서울,"437,381,355 ","4,023,565,993 ",103.333,1.0,22.7,8841485,76.0,76.0
2015-02-01,울산,"2,010,920,310 ","2,374,186,754 ",104.714,4.5,20.4,12602832,76.0,76.0
2015-02-01,인천,"1,028,706,211 ","1,944,362,902 ",81.31,1.2,22.8,4312186,76.0,76.0
2015-02-01,전남,"1,731,960,557 ","2,613,495,466 ",91.777,3.5,37.5,4678945,76.0,76.0
2015-02-01,전북,"1,045,478,173 ","1,932,314,881 ",104.27,2.4,16.9,1371284,76.0,76.0
2015-02-01,제주,"43,818,065 ","421,680,003 ",94.699,7.7,108.1,15906,76.0,76.0
2015-02-01,충남,"2,795,403,858 ","3,927,670,744 ",75.0,1.3,25.4,9528037,76.0,76.0
2015-02-01,충북,"1,155,112,916 ","1,952,326,778 ",76.957,0.5,30.2,2387272,76.0,76.0
2015-03-01,강원,"620,521,169 ","1,438,929,654 ",102.319,5.6,14.9,479656,74.2,74.2
2015-03-01,경기,"4,668,977,253 ","8,783,408,288 ",72.33,5.6,9.3,27757557,74.2,74.2
2015-03-01,경남,"1,701,119,157 ","2,964,229,892 ",127.229,7.8,67.2,13545547,74.2,74.2
2015-03-01,경북,"2,766,215,122 ","3,806,609,094 ",123.798,7.3,43.5,11289799,74.2,74.2
2015-03-01,광주,"253,248,001 ","686,980,103 ",112.691,8.0,36.5,3821785,74.2,74.2
2015-03-01,대구,"552,976,500 ","1,233,059,012 ",117.892,9.2,50.5,1766191,74.2,74.2
2015-03-01,대전,"272,432,238 ","761,114,759 ",96.816,7.2,44.7,1124416,74.2,74.2
2015-03-01,부산,"684,234,938 ","1,655,944,725 ",125.935,9.5,76.5,3880613,74.2,74.2
2015-03-01,서울,"403,283,677 ","3,592,926,269 ",122.469,6.3,9.6,13681008,74.2,74.2
2015-03-01,울산,"2,147,410,808 ","2,464,928,462 ",127.048,8.9,51.7,19997184,74.2,74.2
2015-03-01,인천,"1,150,295,590 ","1,959,768,580 ",101.927,5.4,10.0,6906221,74.2,74.2
2015-03-01,전남,"2,074,485,242 ","2,949,658,587 ",102.335,7.7,57.2,7718365,74.2,74.2
2015-03-01,전북,"1,177,515,373 ","1,943,996,079 ",127.639,6.6,35.8,2170068,74.2,74.2
2015-03-01,제주,"40,904,725 ","378,029,463 ",100.408,10.8,132.1,26876,74.2,74.2
2015-03-01,충남,"3,040,132,620 ","4,025,779,123 ",88.058,5.5,32.8,15238459,74.2,74.2
2015-03-01,충북,"1,286,383,982 ","1,965,127,735 ",91.904,5.7,42.1,3740612,74.2,74.2
2015-04-01,강원,"615,945,262 ","1,376,924,715 ",105.242,12.2,97.7,656455,74.7,74.7
2015-04-01,경기,"4,687,511,914 ","8,597,671,138 ",71.326,12.7,68.7,37178591,74.7,74.7
2015-04-01,경남,"1,709,072,533 ","2,888,704,351 ",123.781,13.3,185.1,18049346,74.7,74.7
2015-04-01,경북,"2,803,285,240 ","3,794,525,205 ",128.36,12.8,84.1,15343015,74.7,74.7
2015-04-01,광주,"259,819,838 ","682,684,453 ",114.989,13.9,145.5,5246785,74.7,74.7
2015-04-01,대구,"580,540,193 ","1,244,032,623 ",114.819,14.6,82.7,2381966,74.7,74.7
2015-04-01,대전,"269,993,391 ","746,536,861 ",98.308,13.3,95.2,1493569,74.7,74.7
2015-04-01,부산,"710,065,593 ","1,671,290,135 ",122.313,13.9,268.0,5353473,74.7,74.7
2015-04-01,서울,"402,754,695 ","3,512,030,282 ",114.938,13.3,80.5,18723779,74.7,74.7
2015-04-01,울산,"2,193,140,334 ","2,510,890,621 ",122.783,13.8,122.9,26264991,74.7,74.7
