region,month,indicator,value
전국,2020-09-01,시황현황,83.0
서울,2020-09-01,시황현황,72.0
부산,2020-09-01,시황현황,76.0
대구,2020-09-01,시황현황,72.0
인천,2020-09-01,시황현황,79.0
광주,2020-09-01,시황현황,86.0
대전,2020-09-01,시황현황,69.0
울산,2020-09-01,시황현황,83.0
강원,2020-09-01,시황현황,88.0
경기,2020-09-01,시황현황,83.0
경남,2020-09-01,시황현황,83.0
경북,2020-09-01,시황현황,86.0
전남,2020-09-01,시황현황,84.0
전북,2020-09-01,시황현황,85.0
충남,2020-09-01,시황현황,86.0
충북,2020-09-01,시황현황,81.0
전국,2020-09-01,매출액현황,82.0
서울,2020-09-01,매출액현황,73.0
부산,2020-09-01,매출액현황,72.0
대구,2020-09-01,매출액현황,73.0
인천,2020-09-01,매출액현황,83.0
광주,2020-09-01,매출액현황,88.0
대전,2020-09-01,매출액현황,78.0
울산,2020-09-01,매출액현황,80.0
강원,2020-09-01,매출액현황,81.0
경기,2020-09-01,매출액현황,83.0
경남,2020-09-01,매출액현황,82.0
경북,2020-09-01,매출액현황,82.0
전남,2020-09-01,매출액현황,79.0
전북,2020-09-01,매출액현황,83.0
충남,2020-09-01,매출액현황,85.0
충북,2020-09-01,매출액현황,81.0
전국,2020-09-01,국내시장출하현황,82.0
서울,2020-09-01,국내시장출하현황,73.0
부산,2020-09-01,국내시장출하현황,73.0
대구,2020-09-01,국내시장출하현황,73.0
인천,2020-09-01,국내시장출하현황,79.0
광주,2020-09-01,국내시장출하현황,91.0
대전,2020-09-01,국내시장출하현황,74.0
울산,2020-09-01,국내시장출하현황,78.0
강원,2020-09-01,국내시장출하현황,83.0
경기,2020-09-01,국내시장출하현황,82.0
경남,2020-09-01,국내시장출하현황,81.0
경북,2020-09-01,국내시장출하현황,85.0
전남,2020-09-01,국내시장출하현황,80.0
전북,2020-09-01,국내시장출하현황,83.0
충남,2020-09-01,국내시장출하현황,90.0
충북,2020-09-01,국내시장출하현황,83.0
전국,2020-09-01,수출현황,87.0
서울,2020-09-01,수출현황,72.0
부산,2020-09-01,수출현황,84.0
대구,2020-09-01,수출현황,80.0
인천,2020-09-01,수출현황,103.0
광주,2020-09-01,수출현황,102.0
대전,2020-09-01,수출현황,83.0
울산,2020-09-01,수출현황,82.0
강원,2020-09-01,수출현황,80.0
경기,2020-09-01,수출현황,87.0
경남,2020-09-01,수출현황,81.0
경북,2020-09-01,수출현황,89.0
전남,2020-09-01,수출현황,102.0
전북,2020-09-01,수출현황,87.0
충남,2020-09-01,수출현황,81.0
충북,2020-09-01,수출현황,93.0
전국,2020-09-01,재고현황,101.0
서울,2020-09-01,재고현황,107.0
부산,2020-09-01,재고현황,100.0
대구,2020-09-01,재고현황,102.0
인천,2020-09-01,재고현황,102.0
광주,2020-09-01,재고현황,100.0
대전,2020-09-01,재고현황,102.0
울산,2020-09-01,재고현황,97.0
강원,2020-09-01,재고현황,88.0
경기,2020-09-01,재고현황,102.0
경남,2020-09-01,재고현황,98.0
경북,2020-09-01,재고현황,103.0
전남,2020-09-01,재고현황,105.0
전북,2020-09-01,재고현황,95.0
충남,2020-09-01,재고현황,102.0
충북,2020-09-01,재고현황,103.0
전국,2020-09-01,설비투자현황,98.0
서울,2020-09-01,설비투자현황,91.0
부산,2020-09-01,설비투자현황,99.0
대구,2020-09-01,설비투자현황,95.0
인천,2020-09-01,설비투자현황,99.0
광주,2020-09-01,설비투자현황,101.0
대전,2020-09-01,설비투자현황,100.0
울산,2020-09-01,설비투자현황,98.0
강원,2020-09-01,설비투자현황,95.0
경기,2020-09-01,설비투자현황,98.0
경남,2020-09-01,설비투자현황,95.0
경북,2020-09-01,설비투자현황,97.0
전남,2020-09-01,설비투자현황,95.0
전북,2020-09-01,설비투자현황,98.0
충남,2020-09-01,설비투자현황,100.0
충북,2020-09-01,설비투자현황,96.0
전국,2020-09-01,설비가동률현황,89.0
서울,2020-09-01,설비가동률현황,76.0
부산,2020-09-01,설비가동률현황,88.0
대구,2020-09-01,설비가동률현황,82.0
인천,2020-09-01,설비가동률현황,84.0
광주,2020-09-01,설비가동률현황,90.0
대전,2020-09-01,설비가동률현황,87.0
울산,2020-09-01,설비가동률현황,83.0
강원,2020-09-01,설비가동률현황,98.0
경기,2020-09-01,설비가동률현황,89.0
경남,2020-09-01,설비가동률현황,89.0
경북,2020-09-01,설비가동률현황,91.0
전남,2020-09-01,설비가동률현황,87.0
전북,2020-09-01,설비가동률현황,86.0
충남,2020-09-01,설비가동률현황,96.0
충북,2020-09-01,설비가동률현황,90.0
전국,2020-09-01,고용현황,95.0
서울,2020-09-01,고용현황,88.0
부산,2020-09-01,고용현황,96.0
대구,2020-09-01,고용현황,92.0
인천,2020-09-01,고용현황,94.0
광주,2020-09-01,고용현황,96.0
대전,2020-09-01,고용현황,100.0
울산,2020-09-01,고용현황,93.0
강원,2020-09-01,고용현황,83.0
경기,2020-09-01,고용현황,95.0
경남,2020-09-01,고용현황,92.0
경북,2020-09-01,고용현황,94.0
전남,2020-09-01,고용현황,96.0
전북,2020-09-01,고용현황,98.0
충남,2020-09-01,고용현황,97.0
충북,2020-09-01,고용현황,100.0
전국,2020-09-01,원자재가격현황,107.0
서울,2020-09-01,원자재가격현황,106.0
부산,2020-09-01,원자재가격현황,104.0
대구,2020-09-01,원자재가격현황,105.0
인천,2020-09-01,원자재가격현황,107.0
광주,2020-09-01,원자재가격현황,109.0
대전,2020-09-01,원자재가격현황,109.0
울산,2020-09-01,원자재가격현황,106.0
강원,2020-09-01,원자재가격현황,102.0
경기,2020-09-01,원자재가격현황,109.0
경남,2020-09-01,원자재가격현황,104.0
경북,2020-09-01,원자재가격현황,109.0
전남,2020-09-01,원자재가격현황,109.0
전북,2020-09-01,원자재가격현황,111.0
충남,2020-09-01,원자재가격현황,105.0
충북,2020-09-01,원자재가격현황,107.0
전국,2020-09-01,제품가격현황,98.0
서울,2020-09-01,제품가격현황,96.0
부산,2020-09-01,제품가격현황,97.0
대구,2020-09-01,제품가격현황,95.0
인천,2020-09-01,제품가격현황,93.0
광주,2020-09-01,제품가격현황,100.0
대전,2020-09-01,제품가격현황,100.0
울산,2020-09-01,제품가격현황,103.0
강원,2020-09-01,제품가격현황,93.0
경기,2020-09-01,제품가격현황,98.0
경남,2020-09-01,제품가격현황,97.0
경북,2020-09-01,제품가격현황,98.0
전남,2020-09-01,제품가격현황,99.0
전북,2020-09-01,제품가격현황,97.0
충남,2020-09-01,제품가격현황,100.0
충북,2020-09-01,제품가격현황,95.0
전국,2020-09-01,경상이익현황,81.0
서울,2020-09-01,경상이익현황,74.0
부산,2020-09-01,경상이익현황,77.0
대구,2020-09-01,경상이익현황,73.0
인천,2020-09-01,경상이익현황,77.0
광주,2020-09-01,경상이익현황,88.0
대전,2020-09-01,경상이익현황,81.0
울산,2020-09-01,경상이익현황,81.0
강원,2020-09-01,경상이익현황,83.0
경기,2020-09-01,경상이익현황,81.0
경남,2020-09-01,경상이익현황,81.0
경북,2020-09-01,경상이익현황,81.0
전남,2020-09-01,경상이익현황,78.0
전북,2020-09-01,경상이익현황,81.0
충남,2020-09-01,경상이익현황,89.0
충북,2020-09-01,경상이익현황,78.0
전국,2020-09-01,자금사정현황,81.0
서울,2020-09-01,자금사정현황,77.0
부산,2020-09-01,자금사정현황,74.0
대구,2020-09-01,자금사정현황,69.0
인천,2020-09-01,자금사정현황,75.0
광주,2020-09-01,자금사정현황,81.0
대전,2020-09-01,자금사정현황,89.0
울산,2020-09-01,자금사정현황,80.0
강원,2020-09-01,자금사정현황,79.0
경기,2020-09-01,자금사정현황,82.0
경남,2020-09-01,자금사정현황,81.0
경북,2020-09-01,자금사정현황,81.0
전남,2020-09-01,자금사정현황,80.0
전북,2020-09-01,자금사정현황,85.0
충남,2020-09-01,자금사정현황,86.0
충북,2020-09-01,자금사정현황,81.0
전국,2020-09-01,부가가치비중 (%),100.0
서울,2020-09-01,부가가치비중 (%),2.0
부산,2020-09-01,부가가치비중 (%),2.0
대구,2020-09-01,부가가치비중 (%),2.0
인천,2020-09-01,부가가치비중 (%),3.0
광주,2020-09-01,부가가치비중 (%),2.0
대전,2020-09-01,부가가치비중 (%),1.0
울산,2020-09-01,부가가치비중 (%),9.0
강원,2020-09-01,부가가치비중 (%),1.0
경기,2020-09-01,부가가치비중 (%),37.0
경남,2020-09-01,부가가치비중 (%),7.0
